Overall,Year,Player,Team,Round,Pick,Position,Country,Height,Height (Inches),Weight,Amateur League,Amateur Team
157,2019,Braden Doyle,Los Angeles Kings,6,2,D,USA,"5' 11""",71,162,HIGH-MA,Lawrence Academy
158,2019,Patrick Moynihan,New Jersey Devils,6,3,RW,USA,"5' 11""",71,183,NTDP,USA U-18
159,2019,Elmer Soderblom,Detroit Red Wings,6,4,RW,SWE,"6' 6""",78,219,SWEDEN-JR.,Frolunda Jr.
160,2019,Lukas Rousek,Buffalo Sabres,6,5,RW,CZE,"5' 11""",71,165,CZREP,Sparta
161,2019,Adam Edstrom,New York Rangers,6,6,C,SWE,"6' 6""",78,209,SWEDEN-JR.,Mora Jr.
162,2019,Tomas Mazura,Edmonton Oilers,6,7,C,CZE,"6' 2""",74,170,HIGH-NH,Kimball Union Academy
163,2019,William Francis,Anaheim Ducks,6,8,D,USA,"6' 4""",76,207,USHL,Cedar Rapids
164,2019,Timur Ibragimov,San Jose Sharks,6,9,LW,RUS,"6' 1""",73,183,RUSSIA-JR.,SKA St. Petersburg 2
165,2019,Egor Serdyuk,Philadelphia Flyers,6,10,RW,RUS,"5' 10""",70,158,QMJHL,Victoriaville
166,2019,Marshall Warren,Minnesota Wild,6,11,D,USA,"5' 11""",71,170,NTDP,USA U-18
167,2019,Dominic Basse,Chicago Blackhawks,6,12,G,USA,"6' 5""",77,179,HIGH-CT,Selects U18 - South Kent School
168,2019,Greg Meireles,Florida Panthers,6,13,C,CAN,"5' 9""",69,186,OHL,Kitchener
169,2019,Roddy Ross,Philadelphia Flyers,6,14,G,CAN,"6' 2""",74,180,WHL,Seattle
170,2019,Arsen Khisamutdinov,Montréal Canadiens,6,15,C,RUS,"6' 3""",75,205,RUSSIA-JR.,Nizhnekamsk 2
171,2019,Luka Burzan,Colorado Avalanche,6,16,RW,CAN,"6' 0""",72,184,WHL,Brandon
172,2019,Nikita Nesterenko,Minnesota Wild,6,17,C,USA,"6' 0""",72,157,HIGH-NJ,Lawrenceville
173,2019,Benjamin Brinkman,Dallas Stars,6,18,D,USA,"6' 0""",72,215,BIG10,Minnesota
174,2019,Danil Savunov,Arizona Coyotes,6,19,LW,RUS,"5' 10""",70,147,RUSSIA-2,Penza
175,2019,Karel Plasek,Vancouver Canucks,6,20,RW,CZE,"5' 11""",71,154,CZREP,Brno
176,2019,Anthony Romano,Arizona Coyotes,6,21,C,CAN,"5' 10""",70,182,USHL,Sioux Falls
177,2019,Gustav Berglund,Detroit Red Wings,6,22,D,SWE,"6' 2""",74,194,SWE-JR. U18,Frolunda U18
178,2019,Felix Bibeau,New York Islanders,6,23,C,CAN,"5' 11""",71,186,QMJHL,Rouyn-Noranda
179,2019,Isak Walther,Nashville Predators,6,24,RW,SWE,"6' 3""",75,170,SWE-JR. U18,Sodertalje U18
180,2019,Jack Malone,Vancouver Canucks,6,25,RW,USA,"6' 0""",72,191,USHL,Youngstown
181,2019,Kevin Wall,Carolina Hurricanes,6,26,RW,USA,"6' 0""",72,188,BCHL,Chilliwack
182,2019,Quinn Schmiemann,Tampa Bay Lightning,6,27,D,CAN,"6' 1""",73,185,WHL,Kamloops
183,2019,Blake Murray,Carolina Hurricanes,6,28,C,CAN,"6' 1""",73,187,OHL,Sudbury
184,2019,Santeri Hatakka,San Jose Sharks,6,29,D,FIN,"6' 0""",72,174,FINLAND-JR.,Jokerit Jr.
185,2019,Matias Mantykivi,Boston Bruins,6,30,C,FIN,"5' 11""",71,161,FINLAND-JR.,Saipa Jr.
186,2019,Mathew Hill,Anaheim Ducks,6,31,D,CAN,"6' 4""",76,197,OHL,Barrie
187,2019,Maxence Guenette,Ottawa Senators,7,1,D,CAN,"6' 1""",73,181,QMJHL,Val d'Or
188,2019,Andre Lee,Los Angeles Kings,7,2,LW,SWE,"6' 4""",76,206,USHL,Sioux Falls
189,2019,Nikola Pasic,New Jersey Devils,7,3,RW,SWE,"5' 10""",70,187,SWEDEN-JR.,Linkoping Jr.
190,2019,Kirill Tyutyayev,Detroit Red Wings,7,4,LW,RUS,"5' 9""",69,146,RUSSIA-JR.,Yekaterinburg 2
191,2019,Carter Gylander,Detroit Red Wings,7,5,G,CAN,"6' 5""",77,171,AJHL,Sherwood Park
192,2019,Jake Schmaltz,Boston Bruins,7,6,LW,USA,"6' 0""",72,167,USHL,Chicago
193,2019,Maxim Denezhkin,Edmonton Oilers,7,7,C,RUS,"5' 10""",70,165,RUSSIA-JR.,Yaroslavl 2
194,2019,Cole Moberg,Chicago Blackhawks,7,8,D,CAN,"6' 2""",74,187,WHL,Prince George
195,2019,Aidan McDonough,Vancouver Canucks,7,9,LW,USA,"6' 3""",75,190,USHL,Cedar Rapids
196,2019,Bryce Brodzinski,Philadelphia Flyers,7,10,RW,USA,"5' 11""",71,197,HIGH-MN,Blaine
197,2019,Filip Lindberg,Minnesota Wild,7,11,G,FIN,"6' 0""",72,180,H-EAST,U. Mass.
198,2019,Mikhail Shalagin,Tampa Bay Lightning,7,12,LW,RUS,"6' 4""",76,185,RUSSIA-JR.,Spartak 2
199,2019,Matthew Wedman,Florida Panthers,7,13,C,CAN,"6' 2""",74,197,WHL,Seattle
200,2019,Axel Bergkvist,Arizona Coyotes,7,14,D,SWE,"5' 9""",69,200,SWEDEN-JR.,Leksand Jr.
201,2019,Rafael Harvey-Pinard,Montréal Canadiens,7,15,LW,CAN,"5' 8""",68,166,QMJHL,Rouyn-Noranda
202,2019,Trent Miner,Colorado Avalanche,7,16,G,CAN,"6' 1""",73,187,WHL,Vancouver
203,2019,Valtteri Puustinen,Pittsburgh Penguins,7,17,RW,FIN,"5' 9""",69,183,FINLAND,HPK
204,2019,Kalle Loponen,Toronto Maple Leafs,7,18,D,FIN,"5' 9""",69,186,FINLAND-2,Hermes
205,2019,Eric Ciccolini,New York Rangers,7,19,RW,CAN,"5' 10""",70,160,OJHL,Toronto JC
206,2019,Kieran Ruscheinski,Montréal Canadiens,7,20,D,CAN,"6' 6""",78,201,AMHL,Calgary North Stars
207,2019,Valentin Nussbaumer,Arizona Coyotes,7,21,C,CHE,"5' 10""",70,165,QMJHL,Shawinigan
208,2019,Vadim Zherenko,St. Louis Blues,7,22,G,RUS,"6' 1""",73,176,RUSSIA-JR.,Dynamo Moscow 2
209,2019,Cole Coskey,New York Islanders,7,23,RW,USA,"6' 0""",72,198,OHL,Saginaw
210,2019,Juuso Parssinen,Nashville Predators,7,24,C,FIN,"6' 2""",74,203,FINLAND-JR.,TPS Jr.
211,2019,Santeri Airola,Pittsburgh Penguins,7,25,D,FIN,"5' 11""",71,163,FINLAND-JR.,Saipa Jr.
212,2019,Tyler Angle,Columbus Blue Jackets,7,26,C,CAN,"5' 9""",69,167,OHL,Windsor
213,2019,McKade Webster,Tampa Bay Lightning,7,27,LW,USA,"5' 10""",70,167,USHL,Green Bay
214,2019,Dustin Wolf,Calgary Flames,7,28,G,USA,"5' 11""",71,156,WHL,Everett
