rt-td,rt-td 2,rt-td href,team-display-link href,team-logo src,team-name,rt-td 3,rt-td 4,rt-td 5,,rt-td 6,rt-td 7,rt-td 8,rt-td 9,rt-td 10,rt-td 11
54,Robert Mastrosimone,https://www.nhl.com/player/robert-mastrosimone-8481561,https://records.nhl.com/det/franchises/detroit-red-wings/draft-selections,https://assets.nhle.com/logos/nhl/svg/DET_light.svg,Detroit Red Wings,2,23,NYI-VGK-DET,,LW,USA,"5' 10""",USHL,Chicago,159
55,Dillon Hamaliuk,https://www.nhl.com/player/dillon-hamaliuk-8481549,https://records.nhl.com/sjs/franchises/san-jose-sharks/draft-selections,https://assets.nhle.com/logos/nhl/svg/SJS_light.svg,San Jose Sharks,2,24,NSH-NJD-SJS,,LW,CAN,"6' 2""",WHL,Seattle,194
56,Brett Leason,https://www.nhl.com/player/brett-leason-8481517,https://records.nhl.com/wsh/franchises/washington-capitals/draft-selections,https://assets.nhle.com/logos/nhl/svg/WSH_light.svg,Washington Capitals,2,25,RW,RW,CAN,"6' 4""",210,WHL,Prince Albert,
57,Samuel Bolduc,https://www.nhl.com/player/samuel-bolduc-8481541,https://records.nhl.com/nyi/franchises/new-york-islanders/draft-selections,https://assets.nhle.com/logos/nhl/svg/NYI_light.svg,New York Islanders,2,26,CGY-NYI,,D,CAN,"6' 4""",QMJHL,Blainville-Boisbriand,209
58,Karl Henriksson,https://www.nhl.com/player/karl-henriksson-8481548,https://records.nhl.com/nyr/franchises/new-york-rangers/draft-selections,https://assets.nhle.com/logos/nhl/svg/NYR_light.svg,New York Rangers,2,27,TBL-NYR,,C,SWE,"5' 9""",SWEDEN-JR.,Frolunda Jr.,176
59,Hunter Jones,https://www.nhl.com/player/hunter-jones-8481545,https://records.nhl.com/min/franchises/minnesota-wild/draft-selections,https://assets.nhle.com/logos/nhl/svg/MIN_light.svg,Minnesota Wild,2,28,CAR-MIN,,G,CAN,"6' 4""",OHL,Peterborough,202
60,Albert Johansson,https://www.nhl.com/player/albert-johansson-8481607,https://records.nhl.com/det/franchises/detroit-red-wings/draft-selections,https://assets.nhle.com/logos/nhl/svg/DET_light.svg,Detroit Red Wings,2,29,SJS-DET,,D,SWE,"5' 11""",SWEDEN-JR.,Farjestad Jr.,165
61,Nikita Okhotiuk,https://www.nhl.com/player/nikita-okhotiuk-8481537,https://records.nhl.com/njd/franchises/new-jersey-devils/draft-selections,https://assets.nhle.com/logos/nhl/svg/NJD_light.svg,New Jersey Devils,2,30,BOS-NJD,,D,RUS,"6' 1""",OHL,Ottawa,198
62,Nikita Alexandrov,https://www.nhl.com/player/nikita-alexandrov-8481543,https://records.nhl.com/stl/franchises/st-louis-blues/draft-selections,https://assets.nhle.com/logos/nhl/svg/STL_light.svg,St. Louis Blues,2,31,C,C,DEU,"6' 0""",190,QMJHL,Charlottetown,
63,Matt Stienburg,https://www.nhl.com/player/matt-stienburg-8481737,https://records.nhl.com/col/franchises/colorado-avalanche/draft-selections,https://assets.nhle.com/logos/nhl/svg/COL_light.svg,Colorado Avalanche,3,1,OTT-COL,,C,CAN,"6' 0""",HIGH-ON,St. Andrew's College,182
64,Mattias Norlinder,https://www.nhl.com/player/mattias-norlinder-8481555,https://records.nhl.com/mtl/franchises/montreal-canadiens/draft-selections,https://assets.nhle.com/logos/nhl/svg/MTL_light.svg,Montréal Canadiens,3,2,LAK-MTL,,D,SWE,"6' 0""",SWEDEN-JR.,Modo Jr.,187
65,Alex Campbell,https://www.nhl.com/player/alex-campbell-8481619,https://records.nhl.com/nsh/franchises/nashville-predators/draft-selections,https://assets.nhle.com/logos/nhl/svg/NSH_light.svg,Nashville Predators,3,3,NJD-EDM-PHI-NSH,,LW,CAN,"5' 10""",BCHL,Victoria,154
66,Albin Grewe,https://www.nhl.com/player/albin-grewe-8481602,https://records.nhl.com/det/franchises/detroit-red-wings/draft-selections,https://assets.nhle.com/logos/nhl/svg/DET_light.svg,Detroit Red Wings,3,4,RW,RW,SWE,"5' 11""",190,SWEDEN-JR.,Djurgarden Jr.,
67,Erik Portillo,https://www.nhl.com/player/erik-portillo-8481707,https://records.nhl.com/buf/franchises/buffalo-sabres/draft-selections,https://assets.nhle.com/logos/nhl/svg/BUF_20102011-20192020_light.svg,Buffalo Sabres,3,5,G,G,SWE,"6' 6""",207,SWEDEN-JR.,Frolunda Jr.,
68,Zac Jones,https://www.nhl.com/player/zac-jones-8481708,https://records.nhl.com/nyr/franchises/new-york-rangers/draft-selections,https://assets.nhle.com/logos/nhl/svg/NYR_light.svg,New York Rangers,3,6,D,D,USA,"5' 10""",172,USHL,Tri-City,
69,John Ludvig,https://www.nhl.com/player/john-ludvig-8481206,https://records.nhl.com/fla/franchises/florida-panthers/draft-selections,https://assets.nhle.com/logos/nhl/svg/FLA_light.svg,Florida Panthers,3,7,EDM-FLA,,D,CZE,"6' 0""",WHL,Portland,196
70,Daniil Misyul,https://www.nhl.com/player/daniil-misyul-8481536,https://records.nhl.com/njd/franchises/new-jersey-devils/draft-selections,https://assets.nhle.com/logos/nhl/svg/NJD_light.svg,New Jersey Devils,3,8,ANA-NJD,,D,BLR,"6' 3""",RUSSIA-JR.,Yaroslavl 2,176
71,Hugo Alnefelt,https://www.nhl.com/player/hugo-alnefelt-8481597,https://records.nhl.com/tbl/franchises/tampa-bay-lightning/draft-selections,https://assets.nhle.com/logos/nhl/svg/TBL_light.svg,Tampa Bay Lightning,3,9,VAN-TBL,,G,SWE,"6' 2""",SWEDEN-JR.,HV 71 Jr.,183
72,Ronnie Attard,https://www.nhl.com/player/ronnie-attard-8481521,https://records.nhl.com/phi/franchises/philadelphia-flyers/draft-selections,https://assets.nhle.com/logos/nhl/svg/PHI_19992000-20222023_light.svg,Philadelphia Flyers,3,10,D,D,USA,"6' 3""",205,USHL,Tri-City,
73,Patrik Puistola,https://www.nhl.com/player/patrik-puistola-8481574,https://records.nhl.com/car/franchises/carolina-hurricanes/draft-selections,https://assets.nhle.com/logos/nhl/svg/CAR_light.svg,Carolina Hurricanes,3,11,MIN-CAR,,RW,FIN,"6' 0""",FINLAND-JR.,Tappara Jr.,175
74,Nathan Legare,https://www.nhl.com/player/nathan-legare-8481594,https://records.nhl.com/pit/franchises/pittsburgh-penguins/draft-selections,https://assets.nhle.com/logos/nhl/svg/PIT_light.svg,Pittsburgh Penguins,3,12,CHI-ARI-PIT,,RW,CAN,"6' 0""",QMJHL,Baie Comeau,206
75,Adam Beckman,https://www.nhl.com/player/adam-beckman-8481550,https://records.nhl.com/min/franchises/minnesota-wild/draft-selections,https://assets.nhle.com/logos/nhl/svg/MIN_light.svg,Minnesota Wild,3,13,FLA-NSH-MIN,,LW,CAN,"6' 1""",WHL,Spokane,168
76,John Farinacci,https://www.nhl.com/player/john-farinacci-8481558,https://records.nhl.com/ari/franchises/arizona-coyotes/draft-selections,https://assets.nhle.com/logos/nhl/svg/ARI_20142015-20202021_light.svg,Arizona Coyotes,3,14,C,C,USA,"5' 11""",190,HIGH-MA,Dexter School,
77,Gianni Fairbrother,https://www.nhl.com/player/gianni-fairbrother-8481654,https://records.nhl.com/mtl/franchises/montreal-canadiens/draft-selections,https://assets.nhle.com/logos/nhl/svg/MTL_light.svg,Montréal Canadiens,3,15,D,D,CAN,"5' 11""",194,WHL,Everett,
78,Alex Beaucage,https://www.nhl.com/player/alex-beaucage-8481595,https://records.nhl.com/col/franchises/colorado-avalanche/draft-selections,https://assets.nhle.com/logos/nhl/svg/COL_light.svg,Colorado Avalanche,3,16,RW,RW,CAN,"6' 1""",192,QMJHL,Rouyn-Noranda,
79,Pavel Dorofeyev,https://www.nhl.com/player/pavel-dorofeyev-8481604,https://records.nhl.com/vgk/franchises/vegas-golden-knights/draft-selections,https://assets.nhle.com/logos/nhl/svg/VGK_light.svg,Vegas Golden Knights,3,17,LW,LW,RUS,"6' 0""",176,RUSSIA,Magnitogorsk,
80,Graeme Clarke,https://www.nhl.com/player/graeme-clarke-8481578,https://records.nhl.com/njd/franchises/new-jersey-devils/draft-selections,https://assets.nhle.com/logos/nhl/svg/NJD_light.svg,New Jersey Devils,3,18,DAL-NJD,,RW,USA,"5' 11""",OHL,Ottawa,175
81,Cole Schwindt,https://www.nhl.com/player/cole-schwindt-8481655,https://records.nhl.com/fla/franchises/florida-panthers/draft-selections,https://assets.nhle.com/logos/nhl/svg/FLA_light.svg,Florida Panthers,3,19,CBJ-FLA,,RW,CAN,"6' 2""",OHL,Mississauga,182
82,Michael Vukojevic,https://www.nhl.com/player/michael-vukojevic-8481583,https://records.nhl.com/njd/franchises/new-jersey-devils/draft-selections,https://assets.nhle.com/logos/nhl/svg/NJD_light.svg,New Jersey Devils,3,20,WPG-VGK-SJS-NJD,,D,CAN,"6' 3""",OHL,Kitchener,212
83,Anttoni Honka,https://www.nhl.com/player/anttoni-honka-8481615,https://records.nhl.com/car/franchises/carolina-hurricanes/draft-selections,https://assets.nhle.com/logos/nhl/svg/CAR_light.svg,Carolina Hurricanes,3,21,PIT-VGK-OTT-CAR,,D,FIN,"5' 10""",FINLAND,Jukurit,178
84,Mikko Kokkonen,https://www.nhl.com/player/mikko-kokkonen-8481614,https://records.nhl.com/tor/franchises/toronto-maple-leafs/draft-selections,https://assets.nhle.com/logos/nhl/svg/TOR_light.svg,Toronto Maple Leafs,3,22,D,D,FIN,"5' 11""",200,FINLAND,Jukurit,
85,Ilya Konovalov,https://www.nhl.com/player/ilya-konovalov-8481709,https://records.nhl.com/edm/franchises/edmonton-oilers/draft-selections,https://assets.nhle.com/logos/nhl/svg/EDM_20172018-20212022_light.svg,Edmonton Oilers,3,23,NYI-EDM,,G,RUS,"6' 0""",RUSSIA,Yaroslavl,194
86,Layton Ahac,https://www.nhl.com/player/layton-ahac-8481613,https://records.nhl.com/vgk/franchises/vegas-golden-knights/draft-selections,https://assets.nhle.com/logos/nhl/svg/VGK_light.svg,Vegas Golden Knights,3,24,NSH-VGK,,D,CAN,"6' 2""",BCHL,Prince George,190
87,Lukas Parik,https://www.nhl.com/player/lukas-parik-8481710,https://records.nhl.com/lak/franchises/los-angeles-kings/draft-selections,https://assets.nhle.com/logos/nhl/svg/LAK_light.svg,Los Angeles Kings,3,25,WSH-LAK,,G,CZE,"6' 3""",CZREP-JR.,Liberec Jr.,185
