"rt-td","rt-td 2","rt-td href","team-display-link href","team-logo src","team-name","rt-td 3","rt-td 4","rt-td 5","rt-td 6","rt-td 7","rt-td 8","rt-td 9","rt-td 10","rt-td 11"
"147","Maxim Mayorov","https://www.nhl.com/player/maxim-mayorov-8483758","https://records.nhl.com/dal/franchises/dallas-stars/draft-selections","https://assets.nhle.com/logos/nhl/svg/DAL_light.svg","Dallas Stars","5","18","G","RUS","6' 6""","196","RUSSIA-JR.","Togliatti 2",""
"148","Otto Salin","https://www.nhl.com/player/otto-salin-8483509","https://records.nhl.com/lak/franchises/los-angeles-kings/draft-selections","https://assets.nhle.com/logos/nhl/svg/LAK_light.svg","Los Angeles Kings","5","19","D","FIN","5' 11""","205","FINLAND-JR.","HIFK Jr.",""
"149","Jake Karabela","https://www.nhl.com/player/jake-karabela-8483462","https://records.nhl.com/wsh/franchises/washington-capitals/draft-selections","https://assets.nhle.com/logos/nhl/svg/WSH_light.svg","Washington Capitals","5","20","C","CAN","5' 10""","172","OHL","Guelph",""
"150","Zam Plante","https://www.nhl.com/player/zam-plante-8483504","https://records.nhl.com/pit/franchises/pittsburgh-penguins/draft-selections","https://assets.nhle.com/logos/nhl/svg/PIT_light.svg","Pittsburgh Penguins","5","21","C","DEU","5' 10""","165","HIGH-MN","Hermantown",""
"151","Kevin Reidler","https://www.nhl.com/player/kevin-reidler-8483762","https://records.nhl.com/ott/franchises/ottawa-senators/draft-selections","https://assets.nhle.com/logos/nhl/svg/OTT_light.svg","Ottawa Senators","5","22","BOS-OTT","G","SWE","6' 5""","SWEDEN-JR.","AIK Jr.","176"
"152","Marc-Andre Gaudet","https://www.nhl.com/player/marc-andre-gaudet-8483764","https://records.nhl.com/stl/franchises/st-louis-blues/draft-selections","https://assets.nhle.com/logos/nhl/svg/STL_light.svg","St. Louis Blues","5","23","D","CAN","6' 3""","180","QMJHL","Acadie-Bathurst",""
"153","David Spacek","https://www.nhl.com/player/david-spacek-8483766","https://records.nhl.com/min/franchises/minnesota-wild/draft-selections","https://assets.nhle.com/logos/nhl/svg/MIN_light.svg","Minnesota Wild","5","24","D","USA","6' 0""","174","QMJHL","Sherbrooke",""
"154","Michael Callow","https://www.nhl.com/player/michael-callow-8483770","https://records.nhl.com/ana/franchises/anaheim-ducks/draft-selections","https://assets.nhle.com/logos/nhl/svg/ANA_light.svg","Anaheim Ducks","5","25","TOR-ANA","RW","USA","6' 4""","HIGH-MA","St. Sebastian's School","181"
"155","Parker Bell","https://www.nhl.com/player/parker-bell-8483772","https://records.nhl.com/cgy/franchises/calgary-flames/draft-selections","https://assets.nhle.com/logos/nhl/svg/CGY_light.svg","Calgary Flames","5","26","LW","CAN","6' 4""","192","WHL","Tri-City",""
"156","Vladimir Grudinin","https://www.nhl.com/player/vladimir-grudinin-8483773","https://records.nhl.com/car/franchises/carolina-hurricanes/draft-selections","https://assets.nhle.com/logos/nhl/svg/CAR_light.svg","Carolina Hurricanes","5","27","D","RUS","5' 10""","158","RUSSIA-JR.","CSKA 2",""
"157","Sandis Vilmanis","https://www.nhl.com/player/sandis-vilmanis-8483771","https://records.nhl.com/fla/franchises/florida-panthers/draft-selections","https://assets.nhle.com/logos/nhl/svg/FLA_light.svg","Florida Panthers","5","28","LW","LVA","6' 1""","192","SWEDEN-JR.","Lulea Jr.",""
"158","Samuel Jonsson","https://www.nhl.com/player/samuel-jonsson-8483769","https://records.nhl.com/edm/franchises/edmonton-oilers/draft-selections","https://assets.nhle.com/logos/nhl/svg/EDM_light.svg","Edmonton Oilers","5","29","G","SWE","6' 3""","190","SWEDEN-JR.","Brynas Jr.",""
"159","Victor Mancini","https://www.nhl.com/player/victor-mancini-8483768","https://records.nhl.com/nyr/franchises/new-york-rangers/draft-selections","https://assets.nhle.com/logos/nhl/svg/NYR_light.svg","New York Rangers","5","30","D","USA","6' 3""","215","NCHC","Nebraska-Omaha",""
"160","Nick Malik","https://www.nhl.com/player/nick-malik-8483767","https://records.nhl.com/tbl/franchises/tampa-bay-lightning/draft-selections","https://assets.nhle.com/logos/nhl/svg/TBL_light.svg","Tampa Bay Lightning","5","31","G","USA","6' 1""","177","FINLAND","Kookoo",""
"161","Maxim Barbashev","https://www.nhl.com/player/maxim-barbashev-8483423","https://records.nhl.com/nyr/franchises/new-york-rangers/draft-selections","https://assets.nhle.com/logos/nhl/svg/NYR_light.svg","New York Rangers","5","32","COL-NYR","LW","RUS","6' 1""","QMJHL","Moncton","183"
"162","Emmett Croteau","https://www.nhl.com/player/emmett-croteau-8483765","https://records.nhl.com/mtl/franchises/montreal-canadiens/draft-selections","https://assets.nhle.com/logos/nhl/svg/MTL_light.svg","Montréal Canadiens","6","1","G","CAN","6' 3""","195","USHL","Waterloo",""
"163","Maksymilian Szuber","https://www.nhl.com/player/maksymilian-szuber-8483763","https://records.nhl.com/ari/franchises/arizona-coyotes/draft-selections","https://assets.nhle.com/logos/nhl/svg/ARI_light.svg","Arizona Coyotes","6","2","D","POL","6' 3""","190","GERMANY","Munchen",""
"164","Barrett Hall","https://www.nhl.com/player/barrett-hall-8483761","https://records.nhl.com/sea/franchises/seattle-kraken/draft-selections","https://assets.nhle.com/logos/nhl/svg/SEA_light.svg","Seattle Kraken","6","3","C","USA","6' 0""","167","HIGH-MN","Gentry Academy",""
